ID	accession	secondaryaccession	platform
1	E-MTAB-6418	none	Illumina HumanHT-12_V4_0_R2_15002873_B
2	E-GEOD-27272	GSE27272	Illumina HumanRef-8 v3.0 Expression BeadChip


