GSM151955.CEL	GSM151957.CEL	GSM151958.CEL	GSM151959.CEL	GSM151960.CEL	GSM151961.CEL
100009676	6.44778781196467	6.09789959674817	6.03270206165288	6.21324131693164	6.11186679008962	6.18923595025044
10000	7.35615567768405	7.35463961749724	7.58027569011081	7.46721767461552	6.96881122049987	7.15917057464052
10001	8.01864836411525	7.9551393656172	8.08384510705421	8.13169497298827	7.68828880547965	7.28017933205385
10002	5.17552511242035	5.03155812397095	5.27162141067028	5.36968016364383	5.10519312241326	6.01674210882664
100038246	6.05580870977179	5.78692880778392	6.206457718999	6.02199718171798	5.87930061294578	6.17873376795153
10003	4.22490009873324	4.13957781375041	3.91128125695403	3.82666331517631	4.31486962558806	4.25947459453236
100048912	4.6375449493169	4.32615835099678	4.58844332547242	4.84015116601408	4.49629001152868	4.75609924796978
100049716	6.65113108186025	6.70499402965192	6.23337264803375	6.35560482121456	7.73972450509358	7.78323989092451
10004	7.52654843836071	7.45233948549254	6.98204274554638	6.8095297670913	7.77236261887094	7.53901703146697
10005	8.41592046074051	8.42818384950015	8.40156413054011	8.21071288714014	8.18062320828804	8.34173472931779
10006	9.64466359154936	9.49037306520828	8.60992328116099	8.62993666806342	8.74623306525957	8.688127552068
10007	9.14812280717536	9.09327124495188	9.21336206683564	8.84184997978716	9.01492793662721	8.96159043422337
10008	7.64586968884129	7.69438468294308	6.91110127586311	6.72572439767466	8.40048416264546	7.89673871776199
100093630	9.12248316163917	8.93496996403387	9.24819050285788	9.4004899714093	10.3627271364837	10.4548398422397
100093698	4.16376852722303	3.96134042950377	4.91523740089938	3.84346572711366	3.92977384908828	3.84010804730725
10009	7.42306332177908	7.40634308432023	7.5928594711484	7.55438540179294	7.48701962545467	7.54294291313398
1000	6.87179409017964	6.62744381421406	5.95036580034066	6.12593498434913	6.07123098244424	6.09775397776047
100101467	7.36645037784667	7.25534147094611	7.51266228181067	7.50676808824643	7.36097678030077	7.45326781966524
100101938	5.34951045533925	5.20837443346187	5.29703352877473	5.38099471019003	5.0165467579134	5.38429941378684
10010	8.36334297826445	8.20197963658087	7.83928511880245	7.90839776104404	7.72565026161448	7.81170360090959
100113407	5.53545852459547	5.38427098810511	4.62598832019804	4.75887559598986	6.48850249354731	7.18824977670222
10011	8.67671011604863	8.64854781664298	8.86372624940876	8.85627824721534	8.81284706716279	8.73975286866492
100124700	4.5060478623104	4.10214180944486	3.83484642404638	3.71136672018839	4.1458604427795	4.08250133869512
100125288	7.23405358836501	6.96891274749307	7.36356171130744	7.3819237076519	7.26920676872054	7.51485449681461
100126784	5.60943040719541	5.48989691696083	5.8020643856177	5.74735281955576	5.73914586567814	6.12748077449619
100126791	4.56118370160504	4.3284474717538	4.40233271937868	4.78832748665758	4.56975037213358	4.60470653033839
100126793	5.58123581674906	5.42786375710979	5.86697390779994	5.90358936952244	5.78540537074146	5.88465969217059
100127888	6.5717264965118	6.42925582616858	6.36999095448521	6.69138168314357	6.43891537414262	6.78240034445564
100127950	3.68051046661949	3.43044028547292	3.56970620114492	3.49317227793169	3.70948531532894	3.79003501434015
100127955	6.0688809164707	6.23349312501728	6.36375291910362	6.39523461169044	6.11117246993784	6.82450975177661
100127983	6.665523082607	6.21141312928104	5.29109318722291	4.70496267084804	5.98789899763524	5.56807175029047
100128011	4.53539592219754	3.92140861235733	4.23892665440208	4.04782344650089	3.97878032893302	4.35275942615381
100128025	5.09600945968408	5.15146218114333	5.33527458496501	5.48723595510446	5.29929336775339	5.8730562358077
100128071	7.01523700572194	7.08730668402896	7.24760492946792	7.25501288627004	7.20260479946645	7.74402297776287
100128098	5.84972540988916	6.30824436212759	9.2522587323774	9.11733914317448	5.20102322827502	5.18957925515327
100128124	5.98109910659305	5.95506497255784	6.33016437613811	6.21079365465881	6.5093701420095	6.39312883378655
100128126	6.01571603418826	6.01212144212036	6.03739455114302	6.01053278910842	5.83350368974024	5.95095977639371
