PROBEID,ENTREZID
352,17080788,114907
353,16650255,NA
354,17119144,26819
355,17119144,23521
356,16828519,NA
357,16787464,NA
358,16867212,1938
359,16855494,NA
360,16888865,2744
361,17118726,26806
362,16965162,132864
363,16973871,85013
364,17093090,23586
365,17122454,375248
366,17122454,400986
367,17122454,57730
368,17117684,23117
369,16713144,3688
370,16713144,106633814
371,16831619,NA
372,16660682,NA
373,16994992,51663
374,16657317,NA
375,16934237,NA
376,16924551,351
377,17048190,5218
378,17028041,50854
379,16788649,767583
380,16857934,NA
381,16658576,NA
382,17118730,692196
383,17118730,60674
384,16893461,NA
385,16653819,NA
386,16709223,8036
387,16735817,NA
388,16839510,NA
389,16897448,NA
390,17120222,NA
391,16835213,9520
392,16852308,677769
393,16709333,6934
394,17119704,641648
395,17122322,NA
396,16653755,NA
397,16653745,NA
398,16653707,NA
399,16913572,677837
400,17095703,4783
401,16867213,NA
402,16735810,NA
403,17108528,8263
404,16702501,NA
405,16887736,5163
406,17022388,8763
407,17044692,222171
408,16981500,NA
409,16705260,221035
410,17119488,677806
411,17082935,58500
412,17114829,3423
413,17114829,105373366
414,17081401,10397
415,16888674,84128
416,16915868,79444
417,17046586,677807
418,16870802,7562
419,16788683,767599
420,16830488,5430
421,16720085,8519
422,16653835,NA
423,16983451,10409
424,16723246,5954
425,16822904,574042
426,16867217,NA
427,17122034,390963
428,17123678,NA
429,16794511,NA
430,17068629,NA
431,16984032,6502
432,16855545,115701
433,16655767,NA
434,17079434,26775
435,17079435,NA
436,16739606,NA
437,16810329,51065
438,17117565,NA
439,17121504,10134
440,16650451,NA
441,16714890,26091
442,16779844,26224
443,16816860,100132247
444,16816860,641298
445,16816860,23117
446,16816860,101060386
447,16816860,105371137
448,16816860,100271836
449,16816860,23049
450,16816860,595101
451,16816860,440354
452,16816860,105369244
453,17123332,NA
454,16678319,NA
455,16687985,83941
456,17126218,NA
457,17112996,9643
458,16867221,NA
459,17119610,NA
460,17095775,3376
461,16954059,NA
462,17101027,23760
463,17056244,NA
464,17068631,NA
465,16974242,NA
466,16837298,51321
467,16897637,57142
468,16877836,10890
469,16758617,NA
470,16797196,113146
471,17038746,NA
472,17112184,NA
473,17098620,NA
474,17118780,619562
475,16784883,64430
476,16867228,NA
477,16769743,NA
478,17024335,3097
479,16654657,NA
480,17048667,NA
481,16855475,NA
482,16653713,NA
483,16735807,NA
484,17120680,283131
485,17117619,NA
486,16830575,652966
487,16830575,1973
488,16921475,NA
489,16810959,NA
490,17017200,NA
491,17065899,NA
492,17074447,NA
493,16922779,2114
494,17044800,2617
495,16914743,100113393
496,16665373,10207
497,16655015,NA
498,17106493,3597
499,16788083,10914
500,16764102,NA
501,16855501,NA
502,17121818,84669
503,16740333,NA
504,17126262,283131
505,16878541,NA
506,16722603,3939
507,17046652,NA
508,16798236,100033821
509,17006306,NA
510,16849298,439921
511,16653687,NA
512,17002846,1843
513,16989955,492311
514,16788685,767600
515,17059932,5445
516,16756078,7184
517,16756078,100500842
518,17126140,NA
519,16831928,10517
520,17009218,NA
521,16960111,NA
522,16769720,NA
523,16804804,8826
524,17118228,NA
525,17118232,NA
526,17118242,NA
527,17118246,NA
528,16654637,NA
529,16860168,170959
530,17125622,NA
531,16921464,101930100
532,17086074,23230
533,16954055,387
534,17124702,NA
535,16971420,NA
536,16858592,284391
537,16654597,NA
538,16663800,NA
539,17120596,378938
540,16688164,3716
541,16654645,NA
