logFC	AveExpr	t	P.Value	adj.P.Val	B
5047	4.01940491532949	6.01544136871872	4.08629542057207	0.000148654721703902	0.00879422667000989	0.834725557565188
3952	3.33747708223268	6.96604743885277	3.69268490208848	0.000524179098427401	0.0200084194971152	-0.323833445410841
3290	-2.98574585743947	6.31267206647123	-3.9684860958197	0.000218079713231807	0.0114292001477981	0.481439465908836
2213	-2.9112798359525	8.42184947772199	-7.28766177099212	1.52387772910962e-09	3.54824044382254e-06	11.5484912301742
730	-2.77738434070568	7.36867813168212	-4.84031067998871	1.15479738343022e-05	0.0015685035460441	3.20490117576442
1672	2.57126008993107	4.22899954037355	5.28555530816012	2.39207953216458e-06	0.000498044901776736	4.67324705316101
652995	2.559116797037	7.4673952973944	5.04991814272018	5.53059486828642e-06	0.000866761209213466	3.89105360819115
3046	2.53693444759874	5.73092311340145	7.13631562343703	2.67245152248885e-09	4.86102610855637e-06	11.0247515087444
4246	2.45607368060905	3.57165358084526	6.93974936195043	5.54429356378163e-09	8.21513098146153e-06	10.343826592934
55273	-2.34372770908077	4.96114990101957	-8.14169112056913	6.4854135636547e-11	4.40196271550435e-07	14.4836491444983
3294	-2.26285455755986	8.11398219214751	-4.85005363840866	1.11618671927463e-05	0.00154175655402179	3.23657238276345
653	-2.20172862991466	6.70889804904942	-3.6245655056325	0.000647924994477748	0.0232838252123057	-0.517676058645569
3569	-2.16530854855721	5.30314379306684	-3.80136052093863	0.00037233645604542	0.0159702944660113	-0.0103381322367593
51751	-2.10372375698745	6.66638368309747	-6.45148386465781	3.3888996630111e-08	3.24353510986241e-05	8.65269945298347
5473	-2.09438120581145	6.00367576862565	-4.54882822521434	3.16017603324362e-05	0.0029432976666193	2.26858185772186
2888	-2.08998260018767	5.49896648522055	-4.63784398157769	2.32908771867801e-05	0.00232894482986092	2.55212231571526
174	2.08994736365873	3.37673361919096	7.87582365272739	1.72687300213158e-10	7.03657576543567e-07	13.5747555086382
4072	2.05964040894024	4.20457492010178	5.15862218496458	3.76192537379515e-06	0.000653682315252537	4.2505788605144
6279	-2.0592307066312	7.21262412240108	-3.52645620917708	0.000876187732416531	0.0289675128816573	-0.793109544832771
3620	-2.03601939668246	6.5810691548852	-3.99625286332491	0.000199333623111937	0.0106522581085294	0.564228209462477
6590	2.03249999318513	5.89554660013949	3.83978354002762	0.000329557991481121	0.0148794063799191	0.101709617033988
