GSM320290.CEL	GSM320293.CEL	GSM320291.CEL	GSM320289.CEL	GSM320285.CEL	GSM320286.CEL	GSM320287.CEL	GSM320282.CEL	GSM880871_3APL_PP0905_HG.U133_Plus_2_.CEL	GSM880870_3UNT_PP0901_HG.U133_Plus_2_.CEL	GSM880869_2APL_PP0912_HG.U133_Plus_2_.CEL	GSM880868_2UNT_PP0907_HG.U133_Plus_2_.CEL	GSM880867_1APL_PP0909_HG.U133_Plus_2_.CEL	GSM880866_1UNT_PP0903_HG.U133_Plus_2_.CEL
1	5.03167975915319	4.85352044845516	5.01532538240792	5.10204463508016	5.40691180161853	5.16016795641079	5.05142876226524	5.23524287640171	5.11339133744228	5.14528305007529	5.17718899893526	5.11339133744228	5.75300464534556	5.36260030819384
10	3.8890007606804	3.37413153396426	3.28217585504435	3.50214064415896	3.38861506465008	3.28716624996179	3.58678570549215	3.93925452087692	4.09871580477327	3.85964999945209	3.44504693107899	3.50772579985228	3.11972854595637	3.63219462912018
100	5.32396924310646	6.14181232951271	5.52258120474712	6.85133305070295	6.46061853719346	5.85983742871047	6.04695891110612	5.73105498564683	5.56337068590257	5.9576497719326	6.80790810706733	5.69676596471277	5.62448623627925	6.00201636071755
1000	4.92688245057195	4.65043388063566	4.32279468645539	4.99415688144554	4.64292822986846	4.68727496833831	5.27206334160855	4.80802920347003	5.00267749672931	4.70865322746329	4.59848350801661	5.03058679477077	5.50352117369177	4.55407877597103
10000	6.79084979904611	6.30844475172694	6.32412805081051	6.13418491884325	6.20922914862387	6.00752716653693	6.25442589671867	6.52200549371487	6.499243124662	6.60242389673011	6.29207568592997	5.93539493440937	6.22089157034521	6.09147240538019
100009676	5.05297675863242	4.96816012114854	5.00251988163541	5.01631766584777	5.21405579977663	5.05633847153038	5.12973417722768	5.59883468100463	5.00849663829913	4.78480053649929	5.28893848932308	5.3478465828649	5.22096982623967	5.21092321614494
10001	6.63884147235107	6.42094188747181	6.09665597995284	6.63263094704195	6.97550568653227	6.84164585693757	6.33224921417353	6.28493799405826	6.937671252226	6.26628186130623	6.2593789558615	6.65297488219374	6.41896655778498	6.61971571284483
10002	3.91385025272852	4.16420007332955	4.10303891290728	4.16620525957387	4.25789429389492	4.03971310987618	3.93383705314739	4.65480707644228	4.19623263038458	4.57587404428377	4.22695340994458	4.22345094652096	4.25753840249843	4.13895532996466
10003	3.46599173287443	3.92396880440354	3.66748899087243	3.46758829371782	3.55635434017227	4.47689809230389	3.55706769335596	3.32565956625258	3.45751821103197	3.4592861637205	4.18322128742985	3.77543137718319	3.912117272069	3.69578125078839
10004	5.15289082476153	4.51991751382845	5.04233727497819	5.11470493233513	4.75738232813617	4.94236560978038	5.30882915289653	5.46517288321668	5.21267764150309	5.37000400289408	5.04394361677676	4.97603855818412	5.02544416871508	4.75217325463585
100048912	4.03450113374309	3.94235851462109	4.36070702183447	4.40075685248067	3.47267677484726	3.86126991126944	3.90760426016207	3.96007016307359	3.86741311269668	4.55746672115151	3.99244804988371	3.83997147369106	3.75493528836993	3.92502257720985
100049716	4.38776336802539	4.21215798473401	4.44110285921241	3.91260289879233	3.86947971568291	4.80109480587194	4.23977078295058	5.07175534423475	4.48581751191534	4.26620263320563	4.44438564142361	4.23692472896817	4.91813304682276	4.02874144867861
10005	5.75846578352178	5.37959972340724	5.9274076982686	5.77588121195496	5.66001258476365	5.70317438855793	5.50067413774092	5.66293385507016	5.92673212576749	5.66171631074963	5.64130703416455	5.67308246062633	5.41709083333673	5.98136321434509
10006	7.29896850461926	7.4497855185105	7.6663995271731	7.27274097519239	7.58116250400194	7.71872450846501	7.21139512716925	7.19557450668976	7.00964822316589	7.56002522728184	7.42254135097864	6.76063249396685	7.30675020731031	7.35996697972428
10007	7.06610311463208	6.68403298544357	6.90241254416653	7.03625495364527	6.54423865599334	6.86722152025571	6.31940492424823	6.55432815475823	6.95092749470189	6.31207844686434	6.73578585763804	7.01460180701308	6.79950701728581	6.86148579864807
10008	5.13335095740589	4.96356452532089	5.19242659584394	5.42908479149499	4.60022846665933	5.16994035315967	5.01351079256921	4.9768574337595	5.23143386463115	4.83100659418327	4.48559507628061	5.15859156065089	5.27045159369079	5.04034563728389
10009	6.149315949447	6.27159645263927	6.02996706134996	6.39092855343091	6.78410963289669	6.61913485022413	6.3128939366432	6.57952441642046	6.46511599994789	6.44710045857205	6.64817366992507	6.26393707041567	5.9878673685106	6.28383863252872
1001	5.91846240507114	6.43036820925765	6.34323337476527	5.62004588399007	6.24851721716759	5.99430403073085	5.63169183761374	6.4193098542749	6.24693561912361	6.01092869555341	5.89279289041474	7.038292121926	6.14586548948378	6.33281275518041
10010	6.86788829173968	6.45200266108263	6.41095477195859	6.38899991333899	6.63240415869044	6.81663071044111	6.46650085063453	6.051562206755	6.46017067423031	6.3983664489616	6.33909778065282	6.65612253609035	6.22620546760454	6.30899076840151
100101467	5.11600538832881	5.10940770383052	5.2849477120101	5.04464108104291	4.99561467510733	5.33800727219836	4.88728820171266	4.97806473186347	5.20630387787872	4.97762115229742	4.84294127281923	5.33120854873661	5.04826726230784	5.11376797168932
10011	7.11434068144137	6.65993241443334	6.59305623208607	6.92969074437216	7.09080439130405	6.75245834906929	6.71861826280525	6.40800795458075	7.04745501629393	6.46599168140563	6.67096814455078	7.00925192124269	7.09933705954175	6.76997657069964
100128124	4.02569750982416	4.43078169997385	4.39135968869951	4.6169328633277	4.46164790995735	4.1923195758216	4.25199514467649	4.88722761804886	4.34032482632768	4.43613685835154	4.44838002773494	4.35464749914935	4.52362654280671	4.70382949505428
100128252	6.32426507481871	5.69686323011501	5.12023115951613	7.1717111760731	6.2890381531137	5.964555113166	5.01153593731554	6.23468258195898	6.21943318650237	7.22084136939264	5.48542531078785	6.61270601123235	5.72378110393305	6.31845743772486
100128292	4.00878776207279	4.09910673391705	3.9489743389978	4.17997834990456	3.74010165256238	4.04440807263999	3.94423104023589	4.39524876237454	4.13923140163729	4.27535926172283	4.21153286011507	4.12798333600084	3.80512427220387	4.16828321513546
100128496	3.86889572384465	3.59036871355144	3.96666168200444	3.78499183844321	3.40104926485842	3.77257553386395	3.74329266248704	3.78753418955168	3.550104664125	3.98623809889316	4.05583897112728	3.71419581341556	3.8716629392821	3.78136147278172
100128653	4.98733291588991	5.16804393392101	5.43143867185587	5.1974931513661	4.31161161780456	4.64259386549599	5.18537185121273	5.44268999073584	5.14752598640158	5.4186720313637	5.16531235407486	4.21766430960152	5.00513348355646	4.99055896270733
100128782	4.02168181866889	4.46019948615532	4.18075669570467	4.29371933928953	4.17038957067704	4.00474425142682	4.33724715166697	4.00008701794048	4.18638837779073	4.55425738908655	4.35503864585675	4.17147138126554	4.18321626938485	4.05461137749524
100128927	5.21535187508762	4.86490015550409	4.70266552202277	5.07384276404903	5.03348077793351	5.31182079284056	4.89775335923619	5.1102335721986	5.02491201753165	5.27140617059688	5.46179486068684	5.01266206882651	5.00668447815855	4.71838036280537
100128977	3.45758125664743	3.48988099545749	3.42696077471888	3.47076679671182	3.35186851941933	3.48269273065659	3.55717055369454	3.43985130879546	3.34125674446672	3.71388906003544	3.60102839977015	3.25856983281089	3.31928434930352	3.65907447670607
100128988	4.86254582281422	5.02661947608095	4.61286942643229	3.44723870843363	3.44410139060817	4.13628668622333	4.8533330215876	6.11693170758952	5.2398709551018	3.1714253337154	3.46168679168543	6.05281789999567	5.09962836894611	5.08022669685048
100129128	3.70740965067122	3.07758951351934	4.23605236175622	3.47281252396077	3.22334980078068	3.29056916625551	3.29630611842913	3.72165041743238	3.28194114851765	4.48355205912839	3.47035115568781	3.14505172260628	3.63346849677399	3.30544394797896
100129271	5.29226631585095	4.31441801639688	4.45870124276026	5.05099252156509	4.83824336956827	4.4309233340621	5.05642095680189	4.87070715548427	4.51578780216471	5.2133916729274	4.927852064841	4.5205582199045	4.73735723641963	4.74646081021872
