GSM180446.CEL	GSM180432.CEL	GSM180443.CEL	GSM180078.CEL	GSM180445.CEL	GSM180448.CEL	GSM180449.CEL	GSM180067.CEL	GSM180439.CEL	GSM180447.CEL
ZBTB11-AS1	4.9420520015584	4.9804553378464	5.00956172372741	5.03628757498978	5.11633460532779	4.96018250277854	5.00587446676791	5.03792865024641	4.80296165813132	5.03628757498978
AKT3	6.3387486970762	6.3721347791755	6.21570446521127	6.41217192125404	6.35391604775086	6.37698721453361	6.17422357506628	6.3546907093231	6.45103436061121	6.24098969016976
MED6	8.0775767181242	7.97194084635283	8.20830237298883	8.14611859712675	7.92112441750007	8.13716183979579	8.00129854431988	8.15354035415417	8.20596304059975	7.90993668028995
NR2E3	4.22733491012967	4.3727305637656	4.4568621939599	4.28978027631259	4.31201893230136	4.36866228735651	4.07450811520712	4.46440053715297	4.38081954806101	4.23974238991991
TLX1NB	4.75630973231398	4.88398736142498	4.82035088973643	4.77491990255502	4.85537810905429	4.84310914486436	4.75346511368744	4.85085472016751	4.72540906314411	4.84530968249688
NAALAD2	4.39851616822211	3.77400792270427	4.3803182000019	4.29540167995421	4.00189986150039	4.23491469035235	4.09447609807947	4.24807364230603	4.2644037210231	4.17607955309642
CDKN2B-AS1	4.14449626962553	4.07135133710986	4.11983136614898	4.25851346477675	4.0880984178102	4.11765665969656	4.1326256269248	4.10112820734863	4.1396047408989	4.07605934446428
LOC100049716	5.69696897420595	5.52801711696154	5.63552265321632	5.74165758985727	5.57041234705819	5.56313543640889	5.59616343737832	5.57773681998707	5.52781525178185	5.5023534038306
NAALADL1	5.83113792628013	5.54501613592658	6.05160374744066	5.71344835694406	5.67689654586994	5.61632822608834	5.60016338191461	5.75633218367798	5.56669960767653	5.6852754241281
ACOT8	7.26770090393506	7.77242992678345	7.23498485727034	7.34239173548814	7.09074638760146	7.63693256457878	7.3780128465364	7.36788390211318	7.45320873625843	7.5462555889235
ABI1	8.39078151438749	8.22930741502434	7.43084900233827	8.33235297759846	8.42714032767958	8.50320449035978	8.60512165340286	8.13740193399764	8.52909639516935	8.27957567363623
GNPDA1	9.10801384969046	9.55282631906855	8.77882764718319	9.43921445859759	9.2994575588088	9.72528643575255	8.94834708655446	9.03828026690553	9.39423645833037	9.14455429957229
KCNE3	5.69096189468359	5.28421827738919	5.39630893095126	5.39502642475162	5.4143555947473	5.43717605772166	5.48219863170452	5.09657750333387	5.30104813175569	5.29948235947543
SNHG8	8.08461043037364	8.20661565635465	8.39317604279226	7.89495716992878	8.28636586837454	8.27029538908432	8.49322339812461	8.49639697252505	8.37200551315691	8.42280899995767
GS1-600G8.3	3.56037053610719	3.66733083422788	6.0264862947889	4.13987805311206	3.42184382345968	3.60395408852298	3.64082631319554	4.97435976124944	3.95595201617303	3.36831957554538
ZBTB33	7.75054454965389	7.87141609209557	7.63721102013604	7.75482645367508	7.86945597843879	7.77919013559286	7.9214488156621	7.84352142683337	7.85474999618201	7.83065420528661
CDH2	4.88853651361299	4.86597896260328	4.97789712909572	5.05750154893705	5.08004627339742	4.81237954204502	4.67021954277454	4.80458762681575	4.96862234776608	4.97105466216186
ZSCAN30	6.90829442516682	6.83767070722964	7.11118680139313	6.90048104399825	7.17743655972934	6.79539456372569	6.83395257012824	7.04832631286467	6.88135718200906	6.61243280635298
ANKRD26P3	4.40745157037012	4.71342624919905	4.48543764619985	4.52762035858984	4.40104731376463	4.48843092444966	4.40023293966306	4.78867598655201	4.79635414717021	4.85713777056814
TANK	8.17915525242668	8.07253749284086	7.56579174303633	8.19105564324582	8.11691802110271	8.41359312865464	8.28301184850897	8.09896372478272	8.42401632604353	7.91197028659444
TMEM170B	4.66228843797696	4.00445801729812	4.51393233050224	4.09622086021084	4.24656681581909	3.92376239659537	4.40020038342859	4.18552389162543	4.16686413037624	4.10999197595441
SRA1	8.23238485906646	8.28078919646103	8.28645454560763	8.56713868434483	7.7505786594975	8.74015496502406	8.40289101074843	8.40045896305052	8.46042764456291	8.5013378423893
HOTAIR	3.23880188393111	3.18518944756877	3.20885457580355	3.31149649007328	3.11580249397641	3.07747906569627	3.05271049422101	2.9689444743453	3.20892270988071	3.38761130381536
ZGLP1	6.91415091174388	7.02744515885639	7.39641438953114	7.02834283841649	6.91902121408686	7.00991507842183	6.79096605831459	6.911960735673	6.93109337695962	7.01357908265835
LOC100126784	4.19235200022114	4.26654465369459	4.25365925256367	4.23701923769854	4.25538794885007	4.37624558784018	4.27689379414896	4.28077044227588	4.05927867478086	4.12967319793173
EGOT	4.22747039605457	4.21328919850625	4.23587984077693	4.15082612279736	3.98940402668782	4.08926825144812	3.94111348149512	4.47702427561481	4.1781474809524	4.2084094186768
GHRLOS	4.98444022608846	5.24303645379507	5.14845834796626	4.76851228928953	4.79447962428033	4.69825345755572	4.64912188217628	4.87626594087078	4.76728670267146	4.78264472031527
SLCO4A1-AS1	5.83639327516137	5.80769756461771	5.7951035329453	5.87472057864469	5.67389738009129	5.77169672786483	5.8373471706805	5.86704691415336	5.8373471706805	6.01863107202546
HECW1-IT1	3.13457101617989	3.24576150642285	3.17232776936426	3.26411396143626	3.15409916180655	3.24576150642285	3.24729826118697	3.10957737194045	3.20710295914649	3.37647099243515
LOC100127955	5.14363925265865	5.36394216196007	5.68403923364513	5.43404514075649	5.28763985371798	5.83415016635735	5.51211424508122	5.44928290958321	5.72598662854648	5.54016178804902
C8orf88	3.92669681378576	4.05833527813906	3.9192191557454	3.89307657346665	3.62714740275019	3.74555064309894	4.36916755334335	3.77437746283121	3.84130779407364	3.9098866936262
FAR1P1	3.31333506955446	3.2118871627054	3.50956651960567	3.28178237781068	3.22919050306143	3.38679051138172	3.13283636592201	3.27643983835572	3.34202105987849	3.20810833761916
WWTR1-AS1	5.20131067640671	5.28869444348974	5.52572660536309	5.39349406048139	5.03662210003945	5.14192782521062	5.29512609501374	5.00764431376707	5.2286446511126	5.28592137649553
FAM229A	6.28535236607297	6.26570343395435	6.84939474629943	6.20479351002083	6.62517154891682	6.03825285977887	6.16093616360762	6.51801365034941	6.28718658877832	6.40020409675034
ST8SIA6-AS1	8.39878588444398	8.64355250892033	8.6785245033801	8.66465848414514	8.30202581069884	9.11452056808319	8.5720476811742	8.64920269643689	8.59895490804186	8.87888258742218
HGC6.3	5.29723727222843	5.36093427721942	5.39278871603863	5.25839640116708	5.34452795204041	5.27560153946912	5.09816521249799	5.47462146398792	5.17840755019098	5.08528109314937
STAU2-AS1	5.90663042733991	5.90846874046579	6.006609676006	5.93091981820339	5.80046253671858	5.97114849178215	5.76832317304164	6.03654861895297	5.88165963444916	5.8971434283847
LINC01233	3.31418831817172	3.1386082743412	3.11826511965533	3.13443080862309	3.36669431320472	3.10895735584636	3.02925769855981	3.25635218855439	3.08566282022933	3.02602522444487
LOC100128164	5.12890666190545	5.31601900520668	5.28183231214391	5.33377077684279	5.00292386388496	5.44323214126178	5.17182714541263	5.34153727492314	5.35065499418135	5.27704788357397
UST-AS1	3.15754033835319	3.22582261999612	3.33030199119209	3.28869399395365	3.21327692048382	3.22173686426314	3.19658324354838	3.15574342146598	3.20047687353452	3.18525125432981
TMPO-AS1	3.72925141670626	3.76578025981013	3.63596226255823	3.6287033563048	3.8977385082321	3.80302131640867	3.69502352724573	3.73604867367175	3.72991600157718	3.67352467947387
