GSM151957.CEL	GSM151959.CEL	GSM151958.CEL	GSM151955.CEL
100009676	6.09789959674817	6.21324131693164	6.03270206165288	6.44778781196467
10000	7.35463961749724	7.46721767461552	7.58027569011081	7.35615567768405
10001	7.9551393656172	8.13169497298827	8.08384510705421	8.01864836411525
10002	5.03155812397095	5.36968016364383	5.27162141067028	5.17552511242035
100038246	5.78692880778392	6.02199718171798	6.206457718999	6.05580870977179
10003	4.13957781375041	3.82666331517631	3.91128125695403	4.22490009873324
100048912	4.32615835099678	4.84015116601408	4.58844332547242	4.6375449493169
100049716	6.70499402965192	6.35560482121456	6.23337264803375	6.65113108186025
10004	7.45233948549254	6.8095297670913	6.98204274554638	7.52654843836071
10005	8.42818384950015	8.21071288714014	8.40156413054011	8.41592046074051
10006	9.49037306520828	8.62993666806342	8.60992328116099	9.64466359154936
10007	9.09327124495188	8.84184997978716	9.21336206683564	9.14812280717536
10008	7.69438468294308	6.72572439767466	6.91110127586311	7.64586968884129
100093630	8.93496996403387	9.4004899714093	9.24819050285788	9.12248316163917
100093698	3.96134042950377	3.84346572711366	4.91523740089938	4.16376852722303
10009	7.40634308432023	7.55438540179294	7.5928594711484	7.42306332177908
1000	6.62744381421406	6.12593498434913	5.95036580034066	6.87179409017964
100101467	7.25534147094611	7.50676808824643	7.51266228181067	7.36645037784667
100101938	5.20837443346187	5.38099471019003	5.29703352877473	5.34951045533925
10010	8.20197963658087	7.90839776104404	7.83928511880245	8.36334297826445
100113407	5.38427098810511	4.75887559598986	4.62598832019804	5.53545852459547
10011	8.64854781664298	8.85627824721534	8.86372624940876	8.67671011604863
100124700	4.10214180944486	3.71136672018839	3.83484642404638	4.5060478623104
100125288	6.96891274749307	7.3819237076519	7.36356171130744	7.23405358836501
100126784	5.48989691696083	5.74735281955576	5.8020643856177	5.60943040719541
100126791	4.3284474717538	4.78832748665758	4.40233271937868	4.56118370160504
100126793	5.42786375710979	5.90358936952244	5.86697390779994	5.58123581674906
100127888	6.42925582616858	6.69138168314357	6.36999095448521	6.5717264965118
100127950	3.43044028547292	3.49317227793169	3.56970620114492	3.68051046661949
100127955	6.23349312501728	6.39523461169044	6.36375291910362	6.0688809164707
