GSM929667_13_4_MPG_18_270606.CEL	GSM929668_14_5_MPG_17.1_280606.CEL	GSM929669_15_6_MPG_17.3_280606.CEL	GSM929670_16_8_MPG_18.8_280606.CEL
100009676	4.35808567578838	4.72555507469447	4.31296537455249	4.7096591128497
10000	5.90844724654589	5.68859979563126	5.73497960106315	5.66430740242186
10001	6.89787505450417	6.83098869272152	6.71065660827823	6.7417556931276
10002	3.63315310560207	3.85303748828208	3.92451920334816	3.65670585350599
100038246	4.51055167613716	4.45144276206871	4.55548843365989	4.72216731628372
10003	3.76424539147103	4.03653081823312	3.88109600372114	3.87243203515694
100048912	3.93970056446221	3.81445497042156	4.06345057017323	3.86111585436171
100049716	4.13941641197802	4.33325829070229	4.22970091306796	4.39013106267473
10004	4.29550282942673	4.33448304150089	4.35256345141664	4.42094186302446
10005	5.72245653271637	5.67437580594212	5.58216580336459	5.67437580594212
10006	7.75728866764283	7.80553203392084	7.77468343359318	7.79107001409052
10007	7.07916913433108	7.50579705850164	7.45430831787614	7.85521111523963
10008	4.92164562187681	5.04103985475135	5.35792033006592	5.24438831105296
100093630	7.06685498554704	7.17502780709698	7.03509649267845	7.88955187219529
100093698	3.5150293057581	3.43420524180375	3.51523396525693	3.63876476048733
10009	6.65489348580433	6.83151797933612	6.53635305881379	6.69437308731471
1000	4.34959926514237	4.48115740147518	4.60293054306744	4.46367851580399
100101467	5.77859579328845	6.03975697493247	5.97452110066025	5.92357045468976
100101938	5.97822273506539	6.31758161462928	5.80083947100361	6.11785173403573
10010	8.14005436778277	7.82272057230481	7.86220888384806	7.82191118182003
100113407	3.46327178490774	3.70588561882432	3.80059396438721	3.45253319611132
10011	7.09633407322326	6.97133528846387	7.16245793318351	6.50080773350509
100124700	3.3318284989291	3.35218286572329	3.40150063222757	3.28240016945501
100125288	5.70446662104782	5.90168272102625	6.3080425296383	6.19521601270774
100126784	3.56518757054406	3.66291582533474	3.75613542560377	3.66217101964304
100126791	4.03538989988516	3.79930245842445	4.13182698756282	4.11727674540922
100126793	3.91675209283323	4.02398009161228	4.09173420463896	4.07544626483506
100127888	5.81624859443182	5.69280342707307	5.46790699377438	6.07255391291438
100127950	2.99906809633004	3.1788153968958	3.0038632704668	3.01504151343967
100127955	4.59315618042095	4.70391196779038	4.74396129175162	4.86928745679705
100127983	4.62455044653279	4.88191126131003	5.05447860759639	4.82875564298494
100128011	3.47198815921301	3.54021847822483	3.31870318498595	3.30888799285593
100128025	3.91319667255945	3.7903995998991	4.06710802971023	4.01581151527019
100128071	4.46395677851283	4.46395677851283	4.60033979749917	4.79112385694314
100128098	6.63310243307332	6.61207389799515	6.33869657209294	6.48526281733308
100128124	4.3122110532168	4.50223620123841	4.73850464503511	4.4347552133261
100128126	5.90306020264794	5.58356907908391	6.05418275123002	5.81327725262393
100128139	3.04222675889636	3.1969681246059	3.17892574092055	3.2268114351923
100128164	4.27068183856746	4.12571800005396	4.35757341784961	4.36571325763151
100128176	3.08077623265576	3.08077623265576	3.0410982197639	3.15215360414666
100128191	3.36415017394462	3.69188773347911	3.58454152215715	3.68062143793305
100128239	4.2641717223193	4.10156551008766	4.21790441018438	4.08766560242671
100128252	5.93232335352433	6.1036941134088	6.6896982004712	6.04590376570093
100128285	3.90562887880422	3.72642063403219	3.7437378737558	3.90076239570837
100128288	3.4074857758687	3.425963383629	3.43926850977438	3.39418064972332
100128292	4.48368373816972	4.54373213340839	4.66031227568091	4.66222330232934
100128325	4.94897559515766	4.4777412818483	4.66265536387447	4.58944661519227
100128334	5.24149657545845	5.2845729603543	5.55680320636691	5.63783714303389
100128361	4.94696098754024	5.02177845490551	4.89126465690081	5.10617969927243
100128496	4.27096792919054	4.10149389770865	4.24080911764105	4.51570599622073
100128511	3.46309767199272	3.66087243295706	3.47902280263802	3.45659758204389
100128537	7.07122082937926	6.54708841002819	6.17111901098176	6.90169624068445
100128554	3.51338913003738	3.47434188871054	3.67474473901616	3.40587365524669
100128590	3.36852294671057	3.34469933084743	3.82488809308294	3.47710056871797
100128594	3.61448307572472	3.38275002389179	3.23418990403565	3.46438713651938
100128640	4.11954398794945	3.98766144286251	4.16752062632811	4.28273122163934
100128653	6.19634670761546	5.94450555965386	6.5802266580439	6.56569289427349
100128731	9.11533608232085	9.18896421209527	9.3234909178549	9.31341134068823
100128750	4.29860210336298	4.16546930942448	4.52918140746465	4.2916210737326
100128782	4.04592619373823	4.07775353178244	4.03089235471546	4.06819630044824
100128788	4.75596071567132	4.80861397059899	4.88028271365861	4.80861397059899
100128822	7.69896988592705	7.25353709057848	5.76247389372408	5.29961186092595
